,cluster
219620,0
132821,0
151862,0
139717,0
239235,0
68060,3
34035,0
159729,0
144332,0
228468,0
133226,0
27130,0
122786,0
159238,0
192865,0
185246,0
54451,0
244037,2
6469,0
110822,0
94787,0
69379,0
156206,0
190054,0
84444,1
76038,0
19390,0
132540,0
204342,0
47714,3
231200,0
15125,0
54736,0
94177,0
28596,0
250300,0
162233,0
185295,0
171893,0
39671,0
48851,0
118344,1
97980,0
142187,0
207737,0
225636,0
106583,0
217292,3
125525,0
206054,0
144724,0
222675,0
210152,0
95261,0
209448,0
200536,0
223645,0
27636,0
163406,0
220453,0
79537,0
110742,0
149133,0
252177,0
194305,0
98726,0
134250,0
135893,0
190381,0
68258,0
162796,0
49432,1
3930,0
162740,0
251849,0
237446,0
90953,0
31734,2
179908,0
206313,0
78056,0
33255,0
108337,0
130844,0
107618,0
219898,0
57811,0
157898,0
106909,2
188410,0
35024,0
26446,0
161230,0
45336,3
158416,0
22059,0
1696,0
189874,0
131080,0
100564,0
59125,0
219901,0
199435,0
8421,0
136181,0
187234,3
88381,0
14106,0
195950,0
58412,0
62834,0
222664,0
49442,0
127042,0
144077,0
76070,0
99149,0
146070,0
1197,0
198130,0
33612,0
224734,0
63847,0
111405,0
245030,0
63863,0
18336,0
13716,0
235138,0
146178,0
209713,0
202173,0
41162,2
171404,0
103233,1
91876,0
146852,3
134323,0
190985,0
99708,0
155952,1
209067,0
218395,0
79316,0
109230,0
23044,0
199954,3
163060,0
175249,0
162078,0
253135,0
204525,0
31865,0
253464,2
210636,0
98784,0
231565,0
147109,0
8839,1
127352,0
87547,0
128893,0
40099,0
202400,0
39803,0
103407,0
31038,0
245412,0
227831,0
194558,0
44836,0
88993,1
103791,0
39175,0
237038,0
167081,0
114070,0
207967,0
84747,0
198523,0
52972,0
231218,0
241784,0
224874,0
159604,0
213285,0
20218,0
147986,0
86193,0
52039,0
7802,0
247785,0
218831,0
244987,0
54403,0
226902,0
219985,0
204687,0
174246,0
206923,0
213034,0
205256,0
715,0
103711,0
189061,0
68962,0
249723,0
42969,0
57456,0
205344,0
47154,0
202823,0
118940,0
153300,0
108635,0
44284,1
188537,0
48126,0
8655,0
46317,0
122642,0
84233,0
222341,0
13037,0
32513,0
87625,0
115909,0
